,title_id,title,year,genre,duration,director,actors,description,avg_vote,budget,gross_income_usa,gross_income_global,votes,user_reviews,critics_reviews,profit
51106,tt1022603,(500) Days of Summer,2009,Comedy,95,Marc Webb,"Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz, Matthew Gray Gubler, Clark Gregg, Patricia Belcher, Rachel Boston, Minka Kelly, Charles Walker, Ian Reed Kesler, Darryl Alan Reed, Valente Rodriguez, Yvette Nicole Brown, Nicole Vicius","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",7.7,7500000,32391374,60722734.0,448799,563.0,349.0,53222734.0
52960,tt1179933,10 Cloverfield Lane,2016,Drama,103,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin, Suzanne Cryer, Bradley Cooper, Sumalee Montano, Frank Mottek","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",7.2,15000000,72082998,110216998.0,268631,700.0,514.0,95216998.0
68755,tt3453052,10 Days in a Madhouse,2015,Drama,111,Timothy Hines,"Caroline Barry, Christopher Lambert, Kelly LeBrock, Julia Chantrey, Sasha Kerbel, David Mitchum Brown, Natalia Davidenko, Jessa Campbell, Andi Morrow, Susan Goforth, Katie Singleton, Everette Scott Ortiz, Christopher Beeson, Talya Mar, Rachel Bohanon","In 1887, at age 23, reporter Nellie Bly, working for Joseph Pulitzer, feigns mental illness to go undercover in notorious Blackwell's Island a woman's insane asylum to expose corruption, abuse and murder.",6.7,120000,14616,14616.0,1152,26.0,2.0,-105384.0
66230,tt2789014,100 Acres of Hell,2019,Action,85,Hank Leigh Hump,"Gene Snisky, Jeff Swanton, Jim Roof, Ernest O'Donnell, Meg Carriero, Catherine Corcoran, Katie Walsh, Sam Anoai, Joel Ruda, Anthony Edward Curry, Brittany Ineson, Robert Waldron, Heidi Bird Kellers, Hannah Heckman, Michael Ashley McKeever","When ex pro wrestler Buck Severs travels to an abandoned wildlife preserve with his friends for 'Bro's Weekend,' they become the targets of a deadly manhunt and Buck must find the fighter in himself before it's too late.",2.9,65000,5152,5152.0,143,17.0,9.0,-59848.0
42096,tt0360323,10th & Wolf,2006,Crime,107,Bobby Moresco,"James Marsden, Giovanni Ribisi, Brad Renfro, Piper Perabo, Dennis Hopper, Brian Dennehy, Lesley Ann Warren, Leo Rossi, Dash Mihok, Tommy Lee, Francesco Salvi, Val Kilmer, John Capodice, Billy Gallo, Ken Garito","A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.",6.3,8000000,54702,143451.0,5938,34.0,24.0,-7856549.0
52754,tt1160368,12 Rounds,2009,Action,108,Renny Harlin,"John Cena, Aidan Gillen, Ashley Scott, Steve Harris, Brian White, Gonzalo Menendez, Taylor Cole, Kyle Clements, Peter Navy Tuiasosopo, Travis Davis, Nick Gomez, Brian Decaro, Rosalind Rubin, Billy Slaughter, Kim Collins","Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.",5.6,22000000,12234694,17280326.0,26261,118.0,117.0,-4719674.0
55640,tt1413492,12 Strong,2018,Action,130,Nicolai Fuglsig,"Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill, Austin Hébert, Austin Stowell, Ben O'Toole, Kenneth Miller, Kenny Sheard, Jack Kesy, Rob Riggle, William Fichtner","12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",6.6,35000000,45819713,67450815.0,54143,313.0,167.0,32450815.0
44530,tt0417385,12 and Holding,2005,Drama,94,Michael Cuesta,"Conor Donovan, Jesse Camacho, Zoe Weizenbaum, Jeremy Renner, Annabella Sciorra, Jayne Atkinson, Linus Roache, Marcia DeBonis, Tom McGowan, Michael C. Fuchs, Martin Campetta, Joseph Foster, Max Miner, Noelle 'Parker' Present, Jessica Sorto","After his twin brother is accidentally killed by vengeful bullies, a 12-year old boy and his friends face the harsh realities of death, teenage hormones, and family dysfunction.",7.5,400000,96464,119195.0,6531,51.0,62.0,-280805.0
41271,tt0337563,13 Going on 30,2004,Comedy,98,Gary Winick,"Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis, Kathy Baker, Phil Reeves, Sam Ball, Marcia DeBonis, Christa B. Allen, Sean Marquette, Kiersten Warren, Joe Grifasi, Mary Pat Gleason, Susan Egan, Lynn Collins","A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman.",6.1,37000000,57231747,96455697.0,153826,360.0,78.0,59455697.0
61804,tt2059171,13 Sins,2014,Horror,93,Daniel Stamm,"Mark Webber, Devon Graye, Tom Bower, Rutina Wesley, Ron Perlman, Pruitt Taylor Vince, Clyde Risley Jones, Deneen Tyler, Tom Lawson Jr., Sharon Smith, Greg Pearson, Ritchie Montgomery, Brylee Kate Woodard, Sabrina Gennarino, Hugh Ettinger","A cryptic phone call sets off a dangerous game of risks for Elliot, a down-on-his luck salesman. The game promises increasing rewards for completing 13 tasks, each more sinister than the last.",6.3,4000000,13809,826913.0,30278,100.0,103.0,-3173087.0
